,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
479,Concarneau,47.88,-3.92,57.2,93,0,5.82
480,Yambio,4.57,28.4,67.41,90,0,5.82
481,Tselina,46.53,41.03,23.04,79,0,5.82
482,Inuvik,68.35,-133.72,1.4,84,0,5.82
483,Honiara,-9.43,159.95,87.8,62,0,5.82
484,Sunndalsøra,62.68,8.55,50.0,53,0,5.82
485,Bowen,-20.02,148.23,82.4,54,0,5.82
486,Sisimiut,66.94,-53.67,24.37,92,0,5.82
487,Dunedin,-45.87,170.5,62.01,71,0,5.82
488,Rumuruti,0.27,36.54,57.29,94,0,5.82
489,Guerrero Negro,27.98,-114.06,65.1,67,0,5.82
490,San Rafael,-34.62,-68.33,68.14,64,0,5.82
491,San Buenaventura,27.08,-101.53,82.4,51,0,5.82
492,Zamora,-4.07,-78.96,66.43,58,0,5.82
493,Byron Bay,-28.65,153.62,71.33,53,0,5.82
494,Teahupoo,-17.83,-149.27,84.2,66,0,5.82
495,Safaga,26.73,33.94,69.8,43,0,5.82
496,Leh,34.17,77.58,27.75,70,0,5.82
497,Bloemfontein,-29.12,26.21,57.2,76,0,5.82
498,Bambanglipuro,-7.95,110.28,85.24,69,0,5.82
499,Bor,56.36,44.07,30.09,86,0,5.82
500,Kushnarenkovo,55.1,55.35,28.17,86,0,5.82
501,Mbandaka,0.05,18.26,73.53,81,0,5.82
502,Joshīmath,30.57,79.57,47.28,32,0,5.82
503,Labranzagrande,5.56,-72.58,68.31,74,0,5.82
504,Businga,3.33,20.88,70.95,88,0,5.82
505,Crotone,39.09,17.12,59.92,77,0,5.82
506,Laramie,41.31,-105.59,24.93,32,0,5.82
507,Fergus Falls,46.28,-96.08,18.72,78,0,5.82
508,Tiznit Province,29.58,-9.5,67.75,45,0,5.82
509,Opuwo,-18.06,13.84,70.45,64,0,5.82
510,Orange Cove,36.62,-119.31,57.61,42,0,5.82
511,Dārāb,28.75,54.54,54.34,70,0,5.82
512,Ola,59.58,151.28,8.26,85,0,5.82
513,Biscarrosse,44.39,-1.17,44.6,93,0,5.82
514,Kaitong,44.81,123.15,37.02,62,0,5.82
515,Ituporanga,-27.41,-49.6,63.5,89,0,5.82
516,Tocopilla,-22.09,-70.2,62.37,53,0,5.82
517,Shelburne,44.08,-80.2,36.21,66,0,5.82
518,Burlington,39.88,-74.64,47.55,100,0,5.82
519,Santa Isabel Rio Negro,-0.41,-65.02,75.43,94,0,5.82
520,Kralendijk,12.15,-68.27,82.4,83,0,5.82
521,Krasnyy Kurgan,43.94,42.61,26.31,79,0,5.82
522,Ponta Delgada,37.73,-25.67,60.8,72,0,5.82
523,Hamina,60.57,27.2,37.2,86,0,5.82
524,Touros,-5.2,-35.46,78.8,78,0,5.82
525,Freeport,40.66,-73.58,47.03,93,0,5.82
526,Pauini,-7.71,-66.98,82.8,66,0,5.82
527,Juneau,58.3,-134.42,33.21,86,0,5.82
528,Celestún,20.87,-90.4,78.82,87,0,5.82
529,Tuy Hoa,13.08,109.3,74.61,82,0,5.82
530,Fes,34.04,-5.0,60.8,41,0,5.82
531,Myitkyina,25.38,97.4,66.15,74,0,5.82
532,Duluth,46.78,-92.11,24.75,73,0,5.82
533,Senno,59.53,33.92,33.01,94,0,5.82
534,Ruteng,-8.61,120.47,76.84,72,0,5.82
535,Santo Tomas,14.11,121.14,83.88,83,0,5.82
536,La Asuncion,11.03,-63.86,89.6,62,0,5.82
537,Los Llanos de Aridane,28.66,-17.92,69.31,88,0,5.82
538,Bodaybo,57.85,114.19,21.27,93,0,5.82
539,Juba,4.85,31.58,75.79,70,0,5.82
540,Makakilo City,21.35,-158.09,83.08,51,0,5.82
541,Amahai,-3.33,128.92,86.22,66,0,5.82
542,Alice Springs,-23.7,133.88,91.4,9,0,5.82
543,Sayyan,15.17,44.32,47.05,53,0,5.82
544,Hlukhiv,51.68,33.92,28.58,94,0,5.82
545,Strezhevoy,60.73,77.59,19.4,85,0,5.82
546,Saint John,45.27,-66.07,47.88,81,0,5.82
547,Kysyl-Syr,63.9,122.76,9.99,95,0,5.82
548,Quang Ngai,15.12,108.8,72.68,87,0,5.82
549,Khovd,48.01,91.64,30.76,75,0,5.82
